length,result,first_move
13,0.0,Nf3
91,0.5,e4
11,0.0,f3
15,0.0,e4
14,1.0,d4
232,0.0,e4
24,1.0,e4
82,0.0,e4
16,1.0,c4
80,1.0,g3
51,0.0,c3
54,1.0,g3
23,0.0,g3
97,0.5,d3
18,1.0,e4
28,1.0,e4
20,1.0,e4
77,0.0,e4
106,1.0,f4
22,1.0,e4
118,1.0,e4
16,1.0,e4
68,1.0,c4
109,0.5,e4
27,0.0,e4
23,0.0,e4
119,0.0,e4
68,1.0,e4
98,0.5,e4
12,1.0,e4
436,0.0,Na3
28,0.0,e4
427,1.0,e4
161,0.5,e4
388,0.0,e4
16,1.0,e4
26,1.0,e4
9,0.0,d4
179,0.5,e4
85,0.0,e4
16,1.0,Nf3
65,0.0,e4
28,1.0,e4
26,0.0,e4
450,0.5,d4
21,0.0,c3
24,1.0,c4
57,1.0,e4
378,0.0,e3
79,0.0,e4
90,1.0,c3
83,0.0,e3
36,1.0,e4
129,0.0,Nf3
450,0.5,g4
119,0.5,e4
85,0.0,e3
70,0.5,e4
445,1.0,e4
43,0.5,d4
29,0.0,a4
11,0.0,e4
46,1.0,Nf3
450,0.5,e4
52,1.0,e4
143,0.0,e4
45,1.0,c4
26,1.0,e4
31,0.0,f4
29,0.0,e4
90,1.0,Na3
14,1.0,c4
409,1.0,e4
21,0.0,Nc3
23,0.0,h4
75,0.5,e4
154,1.0,e4
131,0.5,e4
398,0.0,d4
13,0.0,c3
77,1.0,d4
63,1.0,e4
450,0.5,a3
83,0.5,e4
422,0.0,Nc3
127,0.5,Nc3
66,0.5,Nf3
27,0.0,d3
357,1.0,c4
18,1.0,e4
74,1.0,e4
29,0.0,e3
114,0.5,e4
309,1.0,e4
30,1.0,e4
96,1.0,e4
177,0.0,g3
10,1.0,Na3
106,1.0,f3
36,1.0,e4
20,1.0,e4
6,0.0,e4
24,1.0,d4
74,0.0,e4
22,1.0,e4
68,0.5,e4
72,1.0,c3
109,0.5,e4
156,0.0,g3
21,0.0,e4
352,0.0,e4
24,1.0,e4
73,0.5,b3
8,1.0,d4
21,0.0,c4
10,1.0,e4
82,1.0,e4
63,1.0,g3
62,1.0,e4
8,1.0,d4
26,1.0,d4
70,0.5,d4
360,0.0,c4
30,1.0,e4
22,1.0,Nf3
17,0.0,g3
10,1.0,Nc3
24,1.0,e4
59,0.0,a3
118,0.5,e3
14,1.0,e4
55,0.5,Nf3
291,1.0,e4
72,0.5,g3
46,1.0,d4
369,1.0,e4
28,1.0,c4
9,0.0,e4
18,1.0,Nh3
28,1.0,e4
25,0.0,e4
8,1.0,e4
7,0.0,f3
366,0.0,Nc3
52,1.0,g3
394,0.0,e4
18,1.0,e4
27,0.0,e4
38,0.0,e4
88,0.5,e4
29,0.0,e4
76,0.5,e4
70,1.0,d4
22,1.0,e4
23,0.0,e4
22,0.0,e3
16,0.0,g4
18,1.0,e4
110,0.5,e4
86,1.0,e4
79,0.0,b3
64,1.0,e4
98,0.5,h4
107,0.5,d4
24,1.0,Nf3
18,1.0,e4
25,0.0,c4
68,1.0,e4
79,0.5,e4
193,0.5,b3
122,0.5,e3
47,0.0,Nc3
14,1.0,e4
28,1.0,Nf3
74,0.5,d4
24,1.0,e4
203,1.0,e4
21,0.0,Nh3
16,1.0,g3
122,0.5,e4
119,0.0,e4
91,0.0,e4
23,0.0,e4
26,1.0,d4
18,1.0,e4
11,0.0,f4
14,1.0,e3
428,0.0,e4
208,1.0,d4
97,0.0,e4
16,1.0,c3
90,1.0,e4
118,1.0,g3
40,1.0,b3
26,1.0,d4
24,1.0,e3
139,1.0,e4
18,1.0,f4
98,0.5,e4
26,1.0,d4
152,0.5,d4
48,1.0,e4
13,0.0,e4
423,1.0,c4
18,1.0,d4
122,0.5,Nf3
354,0.5,g3
54,1.0,d4
68,0.5,e4
113,0.5,c4
80,1.0,Nf3
25,0.0,e3
64,1.0,d4
120,0.5,e4
291,1.0,c4
22,1.0,e4
121,0.5,e4
27,0.0,e4
93,0.5,e4
50,1.0,e4
110,0.5,e4
112,0.5,d4
234,0.5,e4
73,0.0,e4
42,1.0,e4
6,1.0,e4
445,1.0,e4
15,0.0,Nf3
78,1.0,e4
94,0.5,e4
24,1.0,e4
23,0.0,e4
148,0.5,d4
18,1.0,e4
72,1.0,e4
108,0.5,c4
75,1.0,e4
80,0.5,e4
18,1.0,e4
49,0.5,e4
69,0.0,e4
157,1.0,g3
12,1.0,e4
258,0.5,g3
81,0.5,e3
68,1.0,e4
79,0.0,h3
10,1.0,e4
66,1.0,e4
450,0.5,g3
105,0.5,e4
107,0.0,e4
13,0.0,e4
38,0.0,e4
91,1.0,e4
93,0.0,e4
120,0.5,e4
438,0.0,c4
10,1.0,e4
11,1.0,c4
42,1.0,e4
382,0.0,e4
8,0.0,e4
101,0.5,e4
27,0.0,c4
119,0.0,e4
93,0.5,c3
28,1.0,Nf3
24,1.0,c3
12,1.0,e4
22,1.0,e4
10,1.0,e4
95,0.5,g3
371,1.0,g3
27,0.0,e4
118,0.5,e4
85,0.5,e4
141,1.0,e4
17,0.0,e4
29,0.0,e4
160,0.0,e4
108,0.5,d4
27,0.0,e4
13,0.0,e4
18,1.0,Nf3
23,0.0,c4
64,0.0,e4
64,1.0,e4
15,0.0,e4
66,1.0,e4
72,0.5,Nf3
308,0.5,e4
430,0.0,e4
19,0.0,e4
110,0.5,b3
450,0.5,e4
450,0.5,e4
120,0.5,e4
405,1.0,d4
26,1.0,e4
143,0.0,e4
133,0.5,Nc3
76,1.0,e4
78,0.5,e4
84,1.0,d4
77,0.0,Nf3
14,1.0,e4
99,0.5,e4
63,1.0,Nf3
93,0.5,b4
30,1.0,e4
341,1.0,c4
65,1.0,e4
70,1.0,e4
29,0.0,d4
66,0.5,b3
58,1.0,h4
85,0.5,e4
136,0.5,e3
141,1.0,e4
97,0.5,e4
114,1.0,e4
450,0.5,e4
80,1.0,c4
117,0.5,e3
132,0.5,b3
226,1.0,e4
125,0.5,Nf3
15,0.0,e4
13,0.0,g3
17,0.0,e4
69,0.0,Nf3
92,0.5,Nf3
14,1.0,e4
58,1.0,e4
13,0.0,f3
180,0.5,d4
244,0.5,e4
280,0.0,e4
69,0.0,e3
15,1.0,e4
85,0.5,Nf3
83,0.0,e4
17,0.0,e4
127,0.0,e4
48,1.0,e4
52,1.0,e4
102,0.5,e4
19,0.0,e4
21,0.0,Nc3
12,1.0,d4
450,0.5,e4
8,1.0,e4
429,1.0,e4
57,0.0,e4
104,1.0,e4
110,0.5,e4
153,0.5,e4
30,1.0,e4
21,0.0,e4
23,0.0,e3
102,0.5,a3
278,0.0,e4
12,1.0,e4
135,1.0,e4
14,1.0,Nf3
20,1.0,b3
348,0.0,e4
150,0.5,c4
412,0.0,d4
103,0.5,e3
16,1.0,e4
17,0.0,e4
18,1.0,e4
22,1.0,e4
19,0.0,Nc3
25,0.0,e3
57,0.0,e4
9,0.0,e4
18,1.0,e4
23,0.0,e4
13,0.0,e4
12,1.0,e4
65,0.0,e4
218,0.5,e4
93,0.5,c4
38,1.0,e4
420,0.0,Nc3
65,0.0,Nf3
450,0.5,e4
105,0.5,e4
76,0.5,e4
152,0.5,e4
140,0.5,e4
64,1.0,Nf3
19,0.0,e4
121,0.5,d4
103,1.0,d4
67,1.0,e4
14,1.0,e4
172,0.5,g3
94,1.0,g3
345,1.0,e4
90,0.5,e4
11,0.0,e4
126,1.0,d4
10,1.0,e4
30,1.0,e4
16,1.0,f4
27,0.0,Nc3
109,0.5,e4
70,1.0,g3
450,0.5,e4
54,1.0,g4
25,0.0,d4
122,1.0,e4
116,0.5,g3
176,0.5,e4
8,1.0,e4
24,1.0,c3
16,1.0,e4
82,1.0,e4
83,0.5,Nf3
121,0.5,d4
30,1.0,e4
24,1.0,e4
74,1.0,c4
114,0.5,e4
25,1.0,e4
23,0.0,e3
108,1.0,g3
35,0.0,e4
160,1.0,c4
19,0.0,g3
49,1.0,c4
97,1.0,c4
227,0.5,e4
27,0.0,e4
105,0.5,e4
